model,mae,mse,rmse,r2_score,mape,median_absolute_error,cv_mean_r2,cv_std_r2
Dummy Baseline,34222525.407946736,3902221110050416.5,62467760.56535416,-0.06210576400279999,0.8684434016066603,18849193.54001595,-0.05095211896713723,0.054557868883679105
Linear Regression,19667733.419672128,7408893450574836.0,86074929.2801036,-1.0165511427507137,0.33437790548121243,6997732.025401816,-3.0645569213921866,7.779643721560965
Decision Tree,14290379.217037903,1197358641307541.8,34602870.420061134,0.6741031636480306,0.31342058726144295,6000000.0000000335,0.8408690596644618,0.03006885829851336
Random Forest,11411168.194642952,852076162775381.5,29190343.656342614,0.7680820798385184,0.22360048745153507,4458796.676982664,0.8949356345140321,0.024627993796476295
Gradient Boosting,12917093.611636182,1277801766403588.5,35746353.19027087,0.6522081698920756,0.23306779965838625,4696205.550030969,0.8971562505244958,0.02373959360070157
XGBoost,13833000.315068493,1210083606116196.0,34786255.99451881,0.6706396852625555,0.27176595481060006,5453288.0,0.8778865928004469,0.020532746587315995
CatBoost,14093908.00413792,1781069745148864.2,42202722.01113175,0.5152287917408231,0.2421591199029121,4150849.3989375066,0.8825225758267866,0.015373000764864267
