price,area,area_unit,city,location,property_type,bedrooms,bathrooms,built_in_year,parking_space,servant_quarters,store_rooms,kitchens,drawing_rooms,url
42500000.0,10.0,Marla,Lahore,Dha Defe,House,3.0,4.0,2020.0,2.0,2.0,0.0,2026.0,0.0,https://www.zameen.com/Property/dha_defence_dha_phase_7_luxury_living_10_marla_beautiful_lush_bungalow_in_dha_phase_7_prime_location-54089837-1450-1.html
65000000.0,1.0,Kanal,Lahore,Central,House,4.0,5.0,2020.0,0.0,1.0,0.0,0.0,0.0,https://www.zameen.com/Property/central_park_housing_scheme_central_park_-_block_a1_prime_location_house_available_for_sale_in_central_park_-_block_a1-54248719-17927-1.html
85000000.0,1.0,Kanal,Lahore,Dha Defe,House,3.0,2.0,2020.0,4.0,0.0,0.0,0.0,2026.0,https://www.zameen.com/Property/dha_defence_dha_phase_7_1_kanal_out_standing_top_quality_modern_house_close_to_defense_raya-54005784-1450-1.html
46500000.0,10.0,Marla,Lahore,Dha Defe,House,5.0,6.0,2020.0,2.0,1.0,0.0,0.0,0.0,https://www.zameen.com/Property/dha_defence_dha_phase_7_luxury_modern_10_marla_house_available_in_dha_lahore-54090659-1450-1.html
25000000.0,5.0,Marla,Lahore,Sabzazar Scheme,House,5.0,6.0,2020.0,2.0,1.0,0.0,2.0,0.0,https://www.zameen.com/Property/lahore_sabzazar_scheme_5_marla_like_a_new_house_for_sale_in_sabzazar_near_to_main_orange_train_station-54112501-562-1.html
27000000.0,5.0,Marla,Lahore,Other,House,4.0,5.0,2020.0,0.0,0.0,0.0,0.0,2.0,https://www.zameen.com/Property/dha_11_rahbar_dha_11_rahbar_sector_2_5_marla_brand_new_corner_house_for_sale-54247679-3717-1.html
39500000.0,8.0,Marla,Lahore,Other,House,3.0,4.0,2020.0,0.0,1.0,0.0,2.0,0.0,https://www.zameen.com/Property/lahore_chaman_park_8_marla_triple_story_house_for_sale_in_chaman_park_naya_pull_canal_road_lahore-52994866-9747-1.html
11500000.0,640.0,Square Feet,Lahore,Other,House,7.0,8.0,2020.0,1.0,2.0,0.0,0.0,0.0,https://www.zameen.com/Property/lahore_gt_road_640_square_feet_half_triple_storey_house_for_sale_in_dhobi_ghaat_g_t_road_lahore-53479424-472-1.html
32500000.0,5.0,Marla,Lahore,Dha Defe,House,3.0,2.0,2020.0,1.0,0.0,0.0,2026.0,0.0,https://www.zameen.com/Property/dha_defence_dha_9_town_5-marla_brand_new_hosue_for_sae_ph-9_town_ultra_modren-54203168-1452-1.html
13500000.0,3.0,Marla,Lahore,Other,House,3.0,4.0,2020.0,0.0,0.0,0.0,0.0,0.0,https://www.zameen.com/Property/gt_road_al-ahmad_garden_housing_scheme_3_marla_corner_or_non_corner_pair_brand_house_for_sale-54035931-9707-1.html
26500000.0,5.0,Marla,Lahore,Dha Defe,House,3.0,4.0,2020.0,2.0,1.0,0.0,0.0,0.0,https://www.zameen.com/Property/dha_9_town_dha_9_town_-_block_a_5_marla_3_bed_room_house_available_for_sale_in_askari_11-54184749-8173-1.html
26000000.0,5.0,Marla,Lahore,Other,House,3.0,3.0,2020.0,0.0,0.0,0.0,0.0,0.0,https://www.zameen.com/Property/al_hafeez_gardens_al_hafeez_garden_-_phase_5_5_marla_turkish_style_house_for_sale-53919472-18829-1.html
34000000.0,7.0,Marla,Lahore,Other,House,4.0,5.0,2020.0,1.0,0.0,0.0,2026.0,2026.0,https://www.zameen.com/Property/al_rehman_garden_al_rehman_garden_phase_2_7marla_brand_new_house_for_sale_in_rehman_garden_prime_location_reasonable_price-54248921-4506-1.html
