price,area,area_unit,city,location,property_type,bedrooms,bathrooms,built_in_year,parking_space,servant_quarters,store_rooms,kitchens,drawing_rooms,url,area_marla,property_age,total_rooms,luxury_score,bedroom_bathroom_ratio,location_avg_price
23500000,5.0,Marla,Lahore,DHA Defence,House,3.0,2.0,2020.0,1.0,2026.0,2026.0,2026.0,0.0,https://www.zameen.com/Property/dha_defence_dha_9_town_5_marla_brand_new_modern_design_house_for_sale_near_park-54119301-1452-1.html,5.0,6.0,4057.0,2027.0,0.6666644444518518,81496093.75
70000000,1.0,KANAL,Lahore,DHA Defence,House,11.0,7.0,2020.0,4.0,1.0,0.0,0.0,0.0,https://www.zameen.com/Property/dha_defence_dha_phase_7_01_kanal_unique_amp_stylish_design_house_for_sale_in_dha_phase_7-50511547-1450-1.html,20.0,6.0,18.0,5.0,0.6363630578517656,81496093.75
69000000,1.0,Kanal,Lahore,Other,House,5.0,6.0,2020.0,6.0,1.0,0.0,0.0,0.0,https://www.zameen.com/Property/wapda_town_wapda_town_phase_1_1_kanal_slightly_used_6bed_double_story_house_is_for_sale_in_wapda_town_d-2_block-53045622-4307-1.html,20.0,6.0,11.0,7.0,1.1999976000048,37411065.57377049
50000000,10.0,Marla,Lahore,Other,House,6.0,6.0,2020.0,1.0,1.0,0.0,2.0,0.0,https://www.zameen.com/Property/wapda_town_wapda_town_phase_1_10_marla_luxury_brand_new_5_bed_double_storey_house_is_for_sale_in_wapda_town_phase_1-53259628-4307-1.html,10.0,6.0,14.0,2.0,0.9999983333361112,37411065.57377049
26500000,5.0,Marla,Lahore,DHA Defence,House,5.0,6.0,2020.0,2.0,1.0,0.0,1.0,0.0,https://www.zameen.com/Property/dha_9_town_dha_9_town_-_block_b_3_bed_room_house_available_for_sale-54188894-8174-1.html,5.0,6.0,12.0,3.0,1.1999976000048,81496093.75
95000000,1.0,KANAL,Lahore,DHA Defence,House,3.0,3.0,2020.0,4.0,2026.0,0.0,2026.0,2026.0,https://www.zameen.com/Property/dha_defence_dha_phase_7_hot_deal_1_kanal_ultra_modern_house_for_sale_dha_lahore_phase_7-53970501-1450-1.html,20.0,6.0,2032.0,4056.0,0.9999966666777778,81496093.75
29500000,5.0,Marla,Lahore,DHA Defence,House,5.0,6.0,2020.0,1.0,1.0,1.0,2.0,2026.0,https://www.zameen.com/Property/dha_defence_dha_9_town_5-marla_brand_new_hosue_for_sale_ph-9_town-54189311-1452-1.html,5.0,6.0,14.0,2028.0,1.1999976000048,81496093.75
20000000,5.0,Marla,Lahore,Central Park Scheme,House,3.0,4.0,2020.0,0.0,0.0,0.0,0.0,0.0,https://www.zameen.com/Property/central_park_housing_scheme_central_park_-_block_b_prime_location_house_in_central_park_-_block_b_sized_5_marla_is_available-54248745-3685-1.html,5.0,6.0,7.0,0.0,1.3333288889037036,34150000.0
41000000,10.0,Marla,Lahore,Central Park Scheme,House,3.0,4.0,2020.0,2.0,0.0,0.0,0.0,0.0,https://www.zameen.com/Property/central_park_housing_scheme_central_park_-_block_g_brand_new_10_marla_house_for_sale_in_central_park_-_block_g_lahore-54248744-3690-1.html,10.0,6.0,7.0,2.0,1.3333288889037036,34150000.0
38000000,10.0,Marla,Lahore,Central Park Scheme,House,5.0,5.0,2020.0,0.0,0.0,0.0,0.0,0.0,https://www.zameen.com/Property/central_park_housing_scheme_central_park_-_block_g_a_prime_location_house_at_affordable_price_awaits_you-54248725-3690-1.html,10.0,6.0,10.0,0.0,0.9999980000040001,34150000.0
