price_range,count,mae,mape
Below 1 Crore,3,4099999.9999999925,47.80701754385956
1 to 3 Crore,33,4648956.262617088,21.17599741178717
3 to 5 Crore,14,10357142.857142875,27.521239722473485
Above 5 Crore,24,21898164.805585094,17.61273799590908
